,,,,,,,,,,,,,,,,Primary Stats,,,,,,,,,,,,,,,,,,,Key Team Stats,,,,,,,,Individual Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scoring-Based On-Ice Team Stats,,,,,,,,,,,,,,,,,,Other On-Ice Team Stats,,,,,,,,Catch-All,,,Other,,,,,,,,,,,,,,,Contract Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,,,,,NHL,NHL,NHL,NHL,NHL,NHL,NHL,Last Year,Last Year,NHL,HR,NHL,NHL,NHL,CH,HR,,,,,,,Focused on Goals,,,,,CH,HR,CH,CH,HR,NHL,CH,CH,CH,CH,,NHL,CH,RV,NHL,CH,CH,,NHL,NHL,NHL,NHL,CH,CH,CH,,NHL,NHL,CH,CH,,,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,CH,CH,,,NHL,NHL,NHL,NHL,NHL,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,,,CH,CH,CH,CH,CH,CH,CH,CH,HR,HR,HR,NHL,NHL,NHL,CH,,,,DL,DL,Game Stars,,,TC,TC,TC,CF,CF,CF,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,NHLid,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PPG,PTS,League,PPG,+/-,E+/-,PIM,Shifts,TOI,TOI,TOI/GP,TOI/GP,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,iCF,iCF,iFF,iSF,iSF,iSF,ixG,iSCF,iRB,iRS,iDS,sDist,sDist,Pass,iHF,iHF,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA,iTKA,iBLK,BLK%,iFOW,iFOL,iFOW,iFOL,FO%,%FOT,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPEND,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OPS,DPS,PS,SOS,SOG,SOGDG,OTOI,Grit,DAP,Pace,GS,GS/G,1st,2nd,3rd,MGL,Injuries,CHIP,NMC,Status,Salary,Cap Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-26,Lakeville,MN,USA,USA,75,211,2012,1,28,L,8476869,Skjei,Brady,D,NYR,80,5,34,13,21,0.4875,39,AHL,0.411764706,11,-4.0,42,1885,83821,1394.3,17.47,17.45,30.8%,50.0%,11.3%,.918,1031,3.36,2.24,60.0%,26,1.12,229,230,171,127,127,127,5.9,7,3,6,9,47.6,42.8,188.0,147,147,108,39,45,51,17,69,51,17,69,6.0%,0,1,0,1,0.0%,0.1%,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,0,0,0,3,2,40,3,0,49,22,2,2,49,20,11,21,10,-9,-3.5,20,0,0,0,0,1293,1145,972,854,688,634,64.1,53.8,239,197,78,52,37,32,52,47,89,79,627,647,590,507,235,166,102,65,3.1,3.3,6.4,,,,3130.23,258,8.2,104.9,38.6,0.48,1,0,2,1,Undisclosed,"$11,280.49",,RFA,"$925,000.00","$925,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-10-29,Nousiainen,,FIN,FIN,76,211,2015,1,10,L,8478420,Rantanen,Mikko,RW,COL,75,20,18,10,8,0.506666667,38,AHL,1.153846154,-25,-7.2,22,1667,81262,1347.0,18.03,18.02,32.1%,56.7%,8.6%,.901,988,2.98,3.03,49.6%,-1,-0.04,243,242,191,133,133,133,14.2,52,9,13,22,25.3,26.0,172.1,29,29,73,-44,58,32,49,33,32,49,33,2.8%,29,21,29,21,58.0%,3.5%,2,1,1,2,26,18,11,3,9,10,18,10,1,5,2,0,0,1,0,0,4,3,2,0,11,0,2,3,53,19,2,14,18,7,6,67,11,19,10,20,8,10.4,11,0,0,0,0,1433,1183,1070,924,778,690,66.4,57.4,207,188,67,68,43,47,48,55,91,102,778,660,304,299,161,173,63,73,2.8,0.8,3.6,2,0,0,2849.34,84,7.1,116.5,33.5,0.45,2,2,2,2,Lower body,"$21,808.95",,RFA,"$925,000.00","$894,167.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-14,Toronto,ON,CAN,CAN,72,185,2012,6,156,R,8477015,Brown,Connor,RW,TOR,82,20,16,10,6,0.43902439,36,AHL,0.852941176,3,-1.7,10,1940,79733,1323.2,16.10,16.15,27.9%,53.7%,10.5%,.921,1027,3.04,2.54,54.5%,11,0.50,248,249,197,138,139,139,16.1,62,8,19,27,27.5,25.9,183.8,50,50,86,-36,59,25,40,46,25,40,46,3.4%,2,6,2,5,25.0%,0.5%,1,4,1,1,0,0,1,2,1,2,0,2,0,5,4,3,0,0,1,0,0,4,2,0,13,1,6,4,48,11,2,7,43,7,0,68,5,12,5,12,7,9.0,5,0,0,0,0,1249,1338,915,1027,636,713,61.9,66.3,214,226,67,56,36,43,89,64,125,107,642,691,464,550,199,188,57,58,2.6,1.4,4,,,,3427.38,106,18.0,117.3,39.8,0.49,2,1,2,,,,,RFA,"$650,000.00","$686,667.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-16,Longueuil,QC,CAN,CAN,77,221,2013,1,20,L,8477511,Mantha,Anthony,RW,DET,60,17,19,6,13,0.6,36,AHL,0.75,10,10.9,53,1210,57246,933.7,15.88,15.78,28.6%,78.3%,9.2%,.909,1001,2.96,2.06,59.0%,14,0.90,211,216,181,129,133,133,15.4,57,9,15,24,28.2,26.0,111.5,46,45,54,-9,52,39,26,33,36,26,33,4.9%,5,6,5,6,45.5%,1.3%,1,1,2,1,2,4,1,0,3,4,3,2,2,1,3,0,0,0,2,0,0,7,0,0,8,0,5,5,42,19,0,16,26,5,2,65,15,12,15,15,-3,0.4,9,5,0,1,0,919,671,689,504,499,351,47.2,31.3,166,105,46,32,27,21,37,42,64,63,430,412,261,314,141,93,58,51,3.2,1.7,4.9,,,,2327.74,137,8.0,102.2,39.8,0.67,3,1,2,5,Finger,"$52,642.26",,RFA,"$832,500.00","$863,333.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-10-29,Moscow,,RUS,RUS,74,195,,,,R,8479458,Zaitsev,Nikita,D,TOR,82,4,32,13,19,0.43902439,36,KHL,0.565217391,-22,-6.8,38,2438,108332,1790.9,21.85,21.90,36.9%,42.4%,9.1%,.905,995,2.85,3.15,47.5%,-9,-0.30,301,303,179,106,106,106,5.7,6,6,12,18,52.8,44.6,241.9,176,176,NA,#VALUE!,75,58,33,136,58,33,136,7.6%,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,6,69,3,0,14,46,1,0,42,19,11,18,11,-8,1.2,19,0,0,0,0,1808,1794,1353,1382,938,985,93.0,91.2,318,315,85,94,58,53,100,92,158,145,1017,1002,681,768,287,247,97,104,2.2,1.3,3.6,,,,3062.86,350,11.0,120.7,32.7,0.4,0,0,1,,,,,RFA,"$925,000.00","$925,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-06,Omaha,NE,USA,USA,71,180,2013,3,77,L,8477404,Guentzel,Jake,C/LW,PIT,40,16,17,14,3,0.825,33,AHL,1.272727273,7,5.6,10,820,38126,633.5,15.88,15.87,29.2%,71.7%,11.6%,.907,1023,4.36,2.94,59.7%,15,1.42,136,136,108,81,81,81,11.5,52,11,5,16,20.8,20.7,171.8,61,61,85,-24,27,9,16,18,9,16,18,3.0%,8,9,8,8,47.1%,2.5%,1,1,3,5,4,3,3,4,2,1,5,7,0,3,0,0,0,0,1,2,0,2,4,0,7,1,2,2,22,7,3,1,15,8,0,47,5,10,6,8,5,1.7,5,0,0,0,0,698,593,522,434,396,333,39.5,31.4,143,109,46,31,29,39,29,29,58,68,306,328,218,328,76,69,34,41,3.6,0.7,4.4,,,,1539.38,89,15.4,122.3,33.0,0.83,2,2,2,4,Concussion,"$35,813.02",,RFA,"$667,500.00","$734,167.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-02,Palos,IL,USA,USA,72,187,2014,2,58,L,8477989,Dvorak,Christian,C/LW,ARI,78,15,18,10,8,0.423076923,33,OHL,2.050847458,7,-9.7,22,1533,73086,1217.0,15.62,15.61,27.4%,64.7%,9.7%,.925,1022,2.51,2.47,50.5%,1,0.05,164,164,139,88,88,88,11.1,49,13,6,19,22.4,23.8,156.1,72,72,98,-26,51,15,14,56,15,14,56,4.4%,471,535,471,535,46.8%,90.7%,145,177,157,170,169,188,122,166,180,200,278,307,0,5,1,0,0,0,3,0,1,1,2,0,8,0,2,3,46,12,0,2,2,14,4,54,11,17,11,18,6,10.3,11,0,0,0,0,1050,1287,770,997,527,667,47.7,62.1,167,195,51,50,49,47,42,39,91,86,521,588,517,414,158,81,77,63,1.9,1.7,3.6,1,0,0,3220.83,150,7.8,115.2,21.0,0.27,2,5,2,,,,,RFA,"$792,500.00","$839,167.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-07-19,Ajax,ON,CAN,CAN,73,205,2012,2,61,L,8476913,Shore,Devin,C,DAL,82,13,20,13,7,0.402439024,33,AHL,1.130434783,-4,1.7,14,1664,69547,1158.6,14.13,14.13,25.4%,73.3%,7.7%,.918,995,2.33,2.18,51.7%,3,0.16,213,213,171,115,115,115,17.8,73,13,12,25,20.5,19.1,335.1,44,44,64,-20,56,25,26,71,25,26,71,6.8%,221,249,221,249,47.0%,45.5%,56,81,87,91,78,77,54,72,81,96,132,146,0,6,0,1,0,0,1,0,0,1,3,0,8,0,2,4,50,14,2,4,15,14,1,65,7,15,6,13,8,8.9,7,0,0,0,0,1162,1045,851,742,586,515,59.2,45.8,208,147,45,42,45,37,47,42,92,79,515,517,322,404,174,123,51,51,1.9,1,2.8,,,,3398.94,129,10.0,114.3,31.7,0.39,1,0,4,,,,,RFA,"$867,500.00","$870,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-20,Hilton Head Isl.,SC,USA,USA,72,181,2013,1,30,R,8477451,Hartman,Ryan,LW/RW,CHI,76,19,12,8,4,0.407894737,31,AHL,0.573770492,13,7.1,70,1296,58218,968.5,12.77,12.76,23.9%,70.5%,8.2%,.936,1017,2.73,1.80,60.3%,15,0.93,261,261,214,170,170,170,15.4,61,11,17,28,28.6,27.6,187.9,121,121,135,-14,44,31,36,30,31,36,30,3.6%,25,37,25,37,40.3%,7.4%,5,5,2,9,18,23,8,9,9,14,17,28,1,3,4,2,0,0,3,0,2,4,0,0,10,1,3,4,36,18,1,14,27,3,1,106,24,28,21,22,4,2.5,20,2,0,2,0,952,837,705,613,539,452,43.7,35.6,148,108,44,29,36,19,46,61,82,80,387,446,322,489,146,144,53,59,2.8,1.4,4.2,,,,3076.2,223,7.9,110.8,43.4,0.57,2,0,5,2,Lower body,"$21,056.90",,RFA,"$832,500.00","$863,333.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-13,Yaroslavl,,RUS,RUS,73,201,2015,1,7,L,8478500,Provorov,Ivan,D,PHI,82,6,24,15,9,0.365853659,30,WHL,1.177419355,-7,-1.1,34,2337,108132,1790.8,21.98,21.93,36.8%,52.6%,7.1%,.905,976,1.91,2.65,41.9%,-22,-0.74,332,332,221,162,161,161,7.1,10,1,8,9,52.8,45.7,331.4,111,111,141,-30,59,81,23,166,81,23,166,9.8%,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,5,2,2,3,52,5,0,33,39,1,0,83,15,9,17,6,-6,-1.4,15,0,0,0,0,1502,1701,1097,1185,800,831,64.6,73.8,210,249,57,79,68,70,77,82,145,152,894,819,603,719,263,154,100,97,1.7,3.9,5.7,,,,3080.32,311,8.9,107.3,35.3,0.43,2,2,2,,,,,RFA,"$925,000.00","$894,167.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
