First Name,Last Name,BTN Code,End Team,Pos,NHL PPG,Last Year League,Last Year PPG,GP,ESG,ESA,ESP,ESP/60,55G,55A1,55A2,ESShot,ESMiss,ESBlked,ESChances,ESSh%,ESCoSH%,ESTOI,ESTOI/G,55TOI,55TOI/G,55TOF,55TOF/G,ES%,ESPass,ESBlk,ESHitF,ESHitA,ESGive,ESTake,ESIGP,ESIAP,ESIPP,ESOZFO,ESOZ%,ESDZFO,ESDZ%,ESNZFO,ESNZ%,OZ%,OZRk,RelOZ%,ESOZF,ESDZF,ESNZF,OZF%,T-QoC,T-QoC Rk,RCQoC,QoCRk,CQoC ,Cor%QoC,T-QoT,RCQoT,CQoT ,Cor%QoT,ESOISH%,ESOISV%,PDO,SPD,TmESGF/60,TmESGA/60,TmESSF/60,TmESSA/60,TmESCF/60,TmESCA/60,Corsi,TmESGF,TmESGA,TmESSVA,TmESSVF,TmESMF,TmESMA,TmESBF,TmESBA,TmESSCF`,TmESSCA,ESSC%,ESRelSC%,Adj Corsi,oTmESGF/60,oTmESGA/60,oTmESSF/60,oTmESSA/60,oTmESCF/60,oTmESCA/60,RelC,oTmESGF,oTmESGA,oTmESSVA,oTmESSVF,oTmESMF,oTmESMA,oTmESBF,oTmESBA,ESPenT,ESPenD,ESPPD,ESPenT/60,ESPenD/60,ESPPD/60,ExpGF,ExpGA,TmGFOff,TmGAOff,TmExpGFOff,TmExpGAOff,ESFOW,ESFOL,ESFO%,ESOffFOT,ESOffFOW,ESOffFOSF,ESOffFOSA,ESOffNSPF,ESOffFOGF,ESOffFOGA,ESOffNGPF,ESDefFOT,ESDefFOW,ESDefFOSF,ESDefFOSA,ESDefNSPF,ESDefFOGF,ESDefFOGA,ESDefNGPF
Teuvo,Teravainen,TEUVOTERAVAINEN,CHI,C/LW,0.264705882,SM-Liiga,0.897959184,34,4,4,8,1.18,4,3,0,62,11,25,58,6.5%,4.1%,408.1,12.0,400.6,11.8,1301.2,38.3,23.5%,61,14,11,28,15,11,36.4%,27.3%,63.6%,129,36.2%,82,23.0%,145,40.7%,61.1%,10,8.1,145,127,111,53.3%,17.00,11,-0.143,9,0.45,50.1,17.48,-0.49,7.49,52.8,5.0%,.963,1013,1.3%,1.65,1.05,33.3,28.3,59.0,50.0,9.0,11,7,211,182,73,57,88,99,177,154,53.5%,2.4,-0.8,2.58,2.12,31.49,30.71,59.48,52.70,2.2,56,46,627,620,223,208,269,384,1,3,2,0.15,0.44,0.29,16,15,14.5,14.0,16.7,16.1,29,30,49.2%,24,11,1,0,0.042,0,0,0,9,6,0,1,-0.111,0,0,0
Leon,Draisaitl,LEONDRAISAITL,EDM,C,0.243243243,WHL,1.640625,37,1,6,7,1.05,1,6,0,38,14,8,31,2.6%,1.7%,401.2,10.8,407.5,11.0,1386.0,37.5,22.7%,119,7,21,41,11,14,9.1%,54.5%,63.6%,125,43.9%,34,11.9%,126,44.2%,78.6%,15,33.0,159,149,141,51.6%,17.08,12,-0.028,12,-0.07,50.2,17.79,0.49,-2.64,48.0,5.0%,.881,931,-6.9%,1.62,3.68,32.1,30.9,58.9,53.6,5.3,11,25,207,185,99,69,85,83,187,166,53.0%,5.1,0.9,2.12,2.81,26.71,28.74,54.67,55.50,6.1,49,65,568,599,246,258,360,400,2,7,5,0.30,1.05,0.75,16,15,12.9,18.2,13.3,16.0,112,158,41.5%,112,49,19,1,0.161,0,0,0,32,12,0,5,-0.156,0,0,0
Cody,Goloubef,CODYGOLOUBEF,CBJ,D,0.25,AHL,0.451612903,36,0,8,8,0.91,0,4,4,22,24,18,10,0.0%,0.0%,527.6,14.7,512.2,14.2,1196.1,33.2,30.0%,43,30,41,40,13,3,0.0%,34.8%,34.8%,151,31.2%,157,32.4%,176,36.4%,49.0%,5,3.9,212,194,141,52.2%,17.10,5,0.004,4,-1.90,48.9,16.12,0.15,-4.30,47.9,9.2%,.954,1046,4.6%,2.69,1.41,29.2,30.6,51.4,51.1,0.4,23,12,226,249,87,78,97,103,207,207,50.0%,0.5,2.9,3.16,3.16,30.40,32.86,54.23,58.59,4.7,63,63,543,592,214,235,278,261,6,2,-4,0.68,0.23,-0.45,20,21,18.4,24.0,18.0,20.7,,, ,,,,,,,,,,,,,,,,
Teemu,Pulkkinen,TEEMUPULKKINEN,DET,LW,0.258064516,AHL,0.830985915,31,4,2,6,1.28,4,1,1,45,19,25,37,8.9%,4.5%,281.1,9.1,272.2,8.8,1163.0,37.5,19.0%,14,4,2,28,3,2,40.0%,20.0%,60.0%,99,38.1%,62,23.8%,99,38.1%,61.5%,13,10.7,118,115,82,50.6%,16.83,15,-1.023,15,-0.02,49.9,16.93,-1.83,4.59,52.0,7.4%,.961,1035,3.5%,2.20,1.10,29.8,28.4,60.6,47.2,13.4,10,5,125,124,57,33,52,83,123,107,53.5%,0.8,6.0,2.53,2.63,28.32,28.12,54.43,48.86,7.9,49,51,500,494,230,200,202,276,5,1,-4,1.07,0.21,-0.85,10,9,9.0,9.6,9.7,9.2,0,0, ,,,,,,,,,,,,,,,,
Ben,Chiarot,BENCHIAROT,WPG,D,0.2,AHL,0.307692308,40,2,6,8,0.74,2,4,2,34,16,32,21,5.9%,2.4%,645.7,16.1,612.3,15.3,1243.5,31.1,33.0%,52,44,64,89,21,7,8.3%,25.0%,33.3%,193,31.5%,200,32.6%,220,35.9%,49.1%,2,-2.6,224,246,173,47.7%,17.42,5,0.556,5,-0.48,49.7,17.46,1.02,5.01,51.9,7.7%,.930,1007,0.7%,2.35,1.86,30.5,26.7,57.5,50.5,7.1,24,19,287,253,131,104,139,145,285,243,54.0%,-0.6,1.7,2.70,2.22,29.68,27.17,56.84,48.69,-1.1,56,46,559,517,236,206,240,327,6,2,-4,0.56,0.19,-0.37,26,21,22.0,19.8,22.8,22.2,,, ,,,,,,,,,,,,,,,,
Matt,Tennyson,MATTTENNYSON,SJS,D,0.296296296,AHL,0.388888889,27,1,4,5,0.73,1,2,1,29,20,14,10,3.4%,1.6%,413.2,15.3,396.8,14.7,919.5,34.1,30.1%,32,27,44,72,17,8,10.0%,30.0%,40.0%,125,34.4%,114,31.4%,124,34.2%,52.3%,7,5.1,161,147,97,52.3%,17.15,6,-0.361,7,-0.05,49.9,16.22,0.46,2.61,51.6,6.2%,.952,1014,1.4%,1.51,1.36,24.3,28.3,51.9,57.0,-5.1,10,9,151,178,85,90,100,97,142,174,44.9%,-5.7,-8.4,2.68,3.07,30.99,27.99,60.81,56.57,-9.4,41,47,434,382,205,194,244,252,4,0,-4,0.58,0.00,-0.58,13,14,14.6,15.9,15.7,14.6,,, ,,,,,,,,,,,,,,,,
Craig,Cunningham,CRAIGCUNNINGHAM,ARI,LW/RW,0.137254902,AHL,0.626666667,51,2,4,6,0.75,2,3,1,50,12,10,45,4.0%,2.8%,482.6,9.5,478.7,9.4,1993.7,39.1,19.4%,65,30,104,51,2,7,22.2%,44.4%,66.7%,96,21.8%,181,41.0%,164,37.2%,34.7%,1,-18.0,168,161,133,51.1%,16.95,12,-0.123,11,-1.43,49.3,16.78,-6.04,-4.01,49.2,4.6%,.937,983,-1.7%,1.13,2.01,24.4,31.6,43.7,57.0,-13.3,9,16,186,236,80,89,114,74,162,227,41.6%,-8.7,-7.1,2.29,2.32,31.48,30.70,59.98,56.61,-16.7,76,77,970,943,402,402,459,545,1,4,3,0.12,0.50,0.37,14,18,13.0,16.9,16.0,18.0,55,58,48.7%,32,14,5,1,0.125,0,0,0,53,31,0,6,-0.113,0,0,0
Derrick,Pouliot,DERRICKPOULIOT,PIT,D,0.205882353,WHL,1.206896552,34,1,2,3,0.35,1,1,1,36,14,22,20,2.8%,1.4%,509.3,15.0,474.6,14.0,1119.3,32.9,29.8%,18,19,13,34,14,9,7.7%,15.4%,23.1%,154,38.0%,121,29.9%,130,32.1%,56.0%,7,3.5,168,143,148,54.0%,17.05,7,-0.67,8,0.37,50.1,16.70,0.39,5.28,51.5,5.7%,.918,975,-2.5%,1.64,2.40,29.1,29.5,54.7,49.4,5.3,13,19,217,214,92,71,87,111,209,199,51.2%,0.2,-1.1,2.95,2.09,30.18,28.41,56.82,52.37,0.9,55,39,508,491,222,191,256,275,2,2,0,0.24,0.24,0.00,17,18,17.6,17.2,17.8,16.9,,, ,,,,,,,,,,,,,,,,
Nikita,Nesterov,NIKITANESTEROV,TBL,D,0.259259259,AHL,0.296296296,27,1,4,5,0.72,2,0,3,35,12,16,19,2.9%,1.6%,413.8,15.3,397.6,14.7,863.1,32.0,31.5%,0,17,40,25,14,14,4.3%,13.0%,17.4%,117,34.4%,108,31.8%,115,33.8%,52.0%,3,2.0,137,127,110,51.9%,17.23,6,0.112,7,-1.62,49.3,16.56,1.21,6.71,53.5,10.3%,.911,1014,1.4%,3.47,2.57,33.7,28.8,59.8,50.7,9.1,23,17,200,174,85,76,69,88,205,183,52.8%,0.4,0.2,2.92,2.22,30.03,25.72,54.09,54.15,9.1,42,32,390,338,156,184,225,190,6,3,-3,0.87,0.43,-0.43,17,16,18.2,13.7,16.7,13.3,,, ,,,,,,,,,,,,,,,,
Anthony,Duclair,ANTHONYDUCLAIR,NYR,LW,0.388888889,QMJHL,1.677966102,18,1,5,6,1.86,1,4,1,16,5,10,21,6.3%,3.2%,193.4,10.7,192.6,10.7,650.7,36.1,22.8%,39,5,6,31,6,5,12.5%,62.5%,75.0%,58,35.6%,38,23.3%,67,41.1%,60.4%,12,10.7,59,59,54,50.0%,17.07,9,-0.282,10,-0.01,49.2,17.58,-0.31,-0.81,49.3,10.4%,.962,1066,6.6%,2.49,0.93,24.0,24.6,50.2,47.7,2.5,8,3,69,76,29,27,47,55,73,76,49.0%,-1.8,0.7,2.95,3.23,32.18,30.34,57.91,55.97,0.6,32,35,317,294,121,146,132,158,0,4,4,0.00,1.24,1.24,7,7,8.5,6.8,8.4,7.6,0,0, ,,,,,,,,,,,,,,,,
Nick,Shore,NICKSHORE,LAK,C,0.205882353,AHL,0.558823529,34,1,5,6,1.02,1,2,3,32,15,8,22,3.1%,1.8%,352.8,10.4,342.1,10.1,1339.9,39.4,20.3%,30,10,49,42,2,7,10.0%,50.0%,60.0%,98,41.5%,68,28.8%,70,29.7%,59.0%,14,6.2,132,115,86,53.4%,16.61,13,-0.546,13,-1.53,49.3,17.01,-2.22,8.07,53.9,6.7%,.936,1002,0.2%,1.75,1.58,26.3,24.6,52.8,47.4,5.4,10,9,140,131,67,54,76,84,122,126,49.2%,-6.0,-6.4,2.64,2.06,32.06,26.78,60.77,49.35,-6.0,59,46,657,552,291,234,270,350,5,6,1,0.85,1.02,0.17,10,11,12.4,11.3,13.0,12.0,122,100,55.0%,91,44,12,0,0.132,0,0,0,63,36,1,10,-0.143,0,1,-0.016
Jacob,De La Rose,JACOBDELAROSE,MTL,LW,0.181818182,SweHL,0.265306122,33,3,2,5,0.73,2,1,1,31,10,16,31,9.7%,5.3%,411.0,12.5,391.8,11.9,1215.8,36.8,24.4%,21,15,68,35,10,3,37.5%,25.0%,62.5%,76,23.0%,135,40.9%,119,36.1%,36.0%,2,-14.0,136,161,118,45.8%,17.05,12,0.803,1,0.83,50.1,17.40,-1.02,-4.72,47.0,4.7%,.922,969,-3.1%,1.23,2.14,26.2,27.6,44.3,55.9,-11.6,8,14,163,166,49,75,110,69,130,162,44.5%,-2.9,-2.8,2.66,1.88,30.25,29.86,58.63,58.73,-11.5,54,38,559,567,233,225,360,342,4,1,-3,0.58,0.15,-0.44,11,14,12.9,11.8,13.1,15.5,55,85,39.3%,37,10,4,1,0.081,0,0,0,43,21,0,10,-0.233,0,0,0
Michal,Jordan,MICHALJORDAN,CAR,D,0.157894737,AHL,0.357142857,38,0,4,4,0.43,0,0,3,34,6,30,19,0.0%,0.0%,564.0,14.8,543.4,14.3,1333.5,35.1,29.0%,0,59,35,79,18,7,0.0%,20.0%,20.0%,188,38.5%,127,26.0%,173,35.5%,59.7%,5,9.5,225,196,149,53.4%,17.04,5,-0.332,4,0.09,49.8,16.10,-0.41,5.07,50.9,5.6%,.900,956,-4.4%,1.66,2.54,29.4,25.4,54.8,51.3,3.4,15,23,251,207,88,99,136,142,220,220,50.0%,-2.3,-4.0,1.93,2.70,32.62,27.63,62.59,53.54,-5.6,43,60,682,554,291,279,297,375,2,9,7,0.21,0.96,0.74,18,19,17.4,22.5,21.2,20.3,,, ,,,,,,,,,,,,,,,,
Scott,Laughton,SCOTTLAUGHTON,PHI,C/LW,0.193548387,OHL,1.611111111,31,2,3,5,0.85,0,1,1,42,14,21,45,4.8%,2.6%,353.7,11.4,348.1,11.2,1132.1,36.5,23.5%,17,9,58,29,11,8,0.0%,25.0%,25.0%,94,29.9%,91,29.0%,129,41.1%,50.8%,7,-1.5,127,136,127,48.3%,17.00,9,0.112,8,1.11,50.6,17.68,0.51,0.17,48.2,5.8%,.932,990,-1.0%,1.38,2.07,24.0,30.5,45.8,56.0,-10.2,8,12,131,165,51,67,81,76,134,141,48.7%,-0.4,-9.5,2.12,1.91,27.29,27.29,53.32,54.85,-8.6,40,36,475,479,227,233,287,264,6,4,-2,1.02,0.68,-0.34,11,12,12.2,12.1,12.2,12.4,130,137,48.7%,74,31,5,0,0.068,0,0,0,66,32,1,12,-0.167,0,1,-0.015
Andrew,Miller,ANDREW_MILLER,EDM,C,0.666666667,AHL,0.952380952,9,1,5,6,2.91,0,1,2,13,6,2,18,7.7%,4.8%,123.6,13.7,124.9,13.9,338.7,37.6,26.9%,22,6,7,9,6,3,0.0%,100.0%,100.0%,28,23.7%,38,32.2%,52,44.1%,42.4%,4,-14.6,39,46,38,45.9%,17.03,12,-0.701,14,-3.73,48.7,17.74,2.34,-3.00,48.1,4.5%,.877,922,-7.8%,1.44,3.84,32.2,31.2,54.8,63.9,-9.1,3,8,64,57,30,36,32,17,68,73,48.2%,0.2,-8.1,2.48,2.83,32.06,28.70,58.63,56.86,-10.9,14,16,167,146,72,67,92,78,0,1,1,0.00,0.49,0.49,5,5,3.8,5.7,4.6,4.8,0,1,0.0%,1,0,0,0,0,0,0,0,,,,,,,,
Michael,Latta,MICHAELLATTA,WSH,C,0.113207547,AHL,0.653846154,53,0,6,6,0.82,0,4,2,24,11,16,21,0.0%,0.0%,437.3,8.3,433.7,8.2,2087.2,39.4,17.2%,65,12,90,64,11,14,0.0%,50.0%,50.0%,118,30.6%,123,31.9%,145,37.6%,49.0%,7,-2.1,167,152,131,52.4%,16.41,14,-1.98,14,-1.53,49.3,16.83,-0.47,2.19,49.4,6.1%,.956,1017,1.7%,1.66,1.11,27.1,25.0,50.1,48.1,1.9,12,8,184,173,73,58,109,93,169,151,52.8%,0.7,-1.6,2.64,2.44,29.06,28.14,56.49,54.96,0.4,92,85,919,894,427,402,531,527,3,1,-2,0.41,0.14,-0.27,16,13,16.1,14.7,15.1,15.0,158,172,47.9%,101,48,20,0,0.198,1,0,0.01,108,52,0,13,-0.12,0,0,0
Curtis,McKenzie,CURTISMCKENZIE,DAL,LW,0.138888889,AHL,0.866666667,36,4,1,5,0.73,4,1,0,41,25,11,50,9.8%,5.2%,411.6,11.4,395.3,11.0,1319.0,36.6,23.1%,24,13,84,47,12,9,50.0%,12.5%,62.5%,124,33.2%,105,28.1%,145,38.8%,54.1%,10,4.7,145,157,124,48.0%,17.03,13,0.327,12,0.29,50.2,17.15,0.55,5.93,51.5,4.2%,.926,968,-3.2%,1.21,2.28,29.0,30.8,60.0,58.0,2.0,8,15,183,188,91,87,92,113,184,203,47.5%,-7.3,-4.8,3.09,3.50,31.07,28.84,65.64,57.45,-6.2,68,77,615,557,341,290,339,419,4,5,1,0.58,0.73,0.15,15,17,19.2,17.4,17.7,15.1,3,5,37.5%,4,2,0,0,0,0,0,0,2,0,0,1,-0.5,0,0,0
William,Karlsson,WILLIAMKARLSSON,CBJ,C,0.238095238,SweHL,0.672727273,21,3,1,4,1.11,3,1,0,23,11,6,21,13.0%,7.5%,216.0,10.3,212.2,10.1,790.9,37.7,21.2%,11,6,18,27,7,8,30.0%,10.0%,40.0%,73,37.2%,54,27.6%,69,35.2%,57.5%,20,9.6,67,97,71,40.9%,17.09,16,0.185,10,-0.24,50.2,17.27,1.91,2.53,49.1,9.3%,.935,1027,2.7%,2.83,1.98,30.5,30.2,53.4,55.4,-2.0,10,7,98,100,37,43,46,44,87,78,52.7%,1.2,-6.6,2.50,1.97,29.89,27.54,55.99,54.62,-3.3,33,26,361,337,157,165,192,187,0,4,4,0.00,1.11,1.11,9,8,8.3,7.7,8.0,7.6,80,83,49.1%,52,23,6,0,0.115,0,0,0,50,25,0,14,-0.28,0,0,0
Philip,Varone,PHILIPVARONE,BUF,C,0.178571429,AHL,0.8,28,3,2,5,0.85,3,1,1,24,8,7,27,12.5%,7.7%,354.7,12.7,342.6,12.2,1045.1,37.3,24.7%,17,21,30,25,13,8,37.5%,25.0%,62.5%,89,28.0%,118,37.1%,111,34.9%,43.0%,8,5.5,115,139,90,45.3%,17.21,8,0.049,10,0.82,50.3,17.43,1.04,-24.30,39.4,5.8%,.910,969,-3.1%,1.40,3.33,24.0,37.1,40.8,70.7,-29.9,8,19,129,193,48,83,109,48,118,194,37.8%,-3.9,-3.2,1.95,3.10,25.78,35.42,44.55,67.75,-6.7,34,54,415,563,151,231,332,176,4,2,-2,0.68,0.34,-0.34,9,16,9.6,15.7,10.6,15.5,144,172,45.6%,88,43,13,4,0.102,0,0,0,116,53,1,23,-0.19,0,0,0
Michael,Ferland,MICHAELFERLAND,CGY,LW,0.192307692,AHL,0.72,26,2,2,4,0.91,2,2,0,32,15,12,38,6.3%,3.4%,263.9,10.1,268.2,10.3,1050.1,40.4,20.3%,37,10,67,32,11,18,33.3%,33.3%,66.7%,71,26.9%,87,33.0%,106,40.2%,44.9%,7,-4.3,97,99,73,49.5%,16.78,13,-0.314,12,-0.32,50.1,17.04,-2.35,-13.08,45.5,5.5%,.959,1013,1.3%,1.34,1.12,24.6,27.1,46.1,57.1,-11.0,6,5,104,116,47,50,84,49,106,117,47.5%,2.3,2.9,2.57,2.51,27.14,30.91,53.25,66.68,2.5,45,44,430,497,196,232,394,261,2,3,1,0.45,0.68,0.23,9,10,10.0,10.8,8.8,10.2,0,0, ,,,,,,,,,,,,,,,,
Lucas,Lessio,LUCASLESSIO,ARI,LW,0.192307692,AHL,0.632653061,26,2,3,5,0.92,2,1,2,43,9,9,44,4.7%,3.3%,324.5,12.5,317.7,12.2,957.4,36.8,24.9%,23,6,58,42,7,6,28.6%,42.9%,71.4%,107,36.9%,81,27.9%,102,35.2%,56.9%,12,11.6,119,117,96,50.4%,17.08,11,-0.78,13,0.10,50.0,17.47,0.04,-2.54,49.0,4.3%,.895,938,-6.2%,1.32,3.21,30.6,30.6,51.9,54.8,-2.8,7,17,155,145,54,52,76,59,135,133,50.4%,3.0,-1.9,1.57,3.07,28.77,31.52,54.65,59.85,2.4,25,49,434,454,184,197,255,229,3,3,0,0.55,0.55,0.00,11,12,8.3,13.3,10.7,13.0,0,2,0.0%,2,0,0,0,0,0,0,0,,,,,,,,
Zach,Trotman,ZACHTROTMAN,BOS,D,0.185185185,AHL,0.325,27,1,4,5,0.74,1,0,4,41,16,28,19,2.4%,1.2%,402.9,14.9,398.2,14.7,949.9,35.2,29.5%,0,28,41,63,6,2,7.1%,28.6%,35.7%,147,38.5%,106,27.7%,129,33.8%,58.1%,7,14.9,150,130,126,53.6%,17.18,5,0.057,6,0.26,50.3,16.78,0.90,4.14,52.2,7.1%,.920,991,-0.9%,2.11,2.11,29.5,26.2,56.8,50.0,6.8,14,14,182,160,80,73,85,101,181,141,56.2%,6.9,0.9,2.27,2.53,28.61,31.01,55.14,55.33,7.0,36,40,417,451,181,181,204,239,0,0,0,0.00,0.00,0.00,14,11,13.8,13.8,14.4,14.1,,, ,,,,,,,,,,,,,,,,
Michael,Chaput,MICHAELCHAPUT,CBJ,C,0.151515152,AHL,0.818181818,33,1,4,5,0.99,1,2,2,22,12,5,23,4.5%,2.6%,302.8,9.2,295.2,8.9,1226.2,37.2,19.4%,41,13,58,27,3,3,20.0%,80.0%,100.0%,78,27.5%,103,36.3%,103,36.3%,43.1%,3,-5.9,110,129,84,46.0%,16.70,19,-1.238,18,-0.25,49.7,16.06,-5.96,-10.23,46.7,4.9%,.923,972,-2.8%,1.02,2.64,20.9,34.4,36.6,62.8,-26.2,5,13,98,156,40,57,83,37,77,143,35.0%,-15.0,-14.7,2.25,2.89,29.36,31.81,52.90,57.30,-21.8,46,59,554,591,212,246,275,269,5,2,-3,0.99,0.40,-0.59,6,12,9.2,12.8,9.9,12.3,133,141,48.5%,72,26,5,2,0.042,0,1,-0.014,105,54,2,10,-0.076,0,0,0
Brandon,Kozun,BRANDONKOZUN,TOR,RW,0.2,AHL,0.53125,20,2,2,4,1.62,2,1,1,7,0,8,10,28.6%,13.3%,148.4,7.4,148.7,7.4,772.4,38.6,16.1%,11,4,19,30,4,4,40.0%,40.0%,80.0%,36,25.5%,38,27.0%,67,47.5%,48.6%,9,6.2,45,63,50,41.7%,16.63,13,-0.784,13,-1.78,48.6,16.30,-1.12,-7.59,46.3,9.4%,.883,977,-2.3%,2.02,3.63,21.4,31.1,42.8,53.7,-10.9,5,9,48,68,18,25,31,35,52,80,39.4%,-5.2,-4.8,1.55,3.34,28.74,34.49,54.38,62.38,-2.9,20,43,350,401,144,173,186,186,2,0,-2,0.81,0.00,-0.81,3,6,4.6,6.2,5.0,5.6,1,1,50.0%,,,,,,,,,2,1,0,0,0,0,0,0
Brandon,Gormley,BRANDONGORMLEY,ARI,D,0.148148148,AHL,0.434782609,27,1,2,3,0.51,1,1,1,34,8,25,21,2.9%,1.5%,355.1,13.2,343.8,12.7,951.4,35.2,26.5%,18,25,24,37,5,5,10.0%,20.0%,30.0%,111,34.5%,81,25.2%,130,40.4%,57.8%,6,12.1,148,137,103,51.9%,16.96,6,-0.731,6,-0.99,49.2,15.98,-1.35,-3.91,48.8,5.6%,.917,973,-2.7%,1.75,2.44,31.2,29.3,57.1,60.0,-3.0,10,14,169,154,59,84,92,89,164,166,49.7%,3.4,-2.0,2.02,2.65,27.94,34.31,56.13,61.11,2.0,32,42,411,502,207,190,235,240,3,3,0,0.51,0.51,0.00,11,13,8.8,16.1,11.7,14.3,,, ,,,,,,,,,,,,,,,,
Adam,Clendening,ADAMCLENDENING,VAN,D,0.19047619,AHL,0.797297297,21,0,1,1,0.20,0,0,1,14,9,14,10,0.0%,0.0%,305.2,14.5,292.4,13.9,705.3,33.6,29.3%,0,21,9,35,13,2,0.0%,6.7%,6.7%,94,37.2%,76,30.0%,83,32.8%,55.3%,7,10.0,119,113,82,51.3%,16.99,8,-0.423,8,-1.47,49.5,15.85,-2.39,-2.42,50.2,9.9%,.920,1019,1.9%,3.08,2.46,31.0,30.8,55.0,55.4,-0.4,15,12,136,138,53,52,68,64,133,147,47.5%,0.8,-0.8,3.06,3.23,28.75,30.96,53.59,56.23,2.2,36,38,302,326,128,128,169,164,4,1,-3,0.79,0.20,-0.59,11,14,10.9,11.4,10.8,12.0,,, ,,,,,,,,,,,,,,,,
Mirco,Mueller,MIRCOMUELLER,SJS,D,0.102564103,WHL,0.45,39,1,3,4,0.39,1,1,2,27,12,24,16,3.7%,1.6%,618.3,15.9,592.6,15.2,1325.1,34.0,30.9%,17,50,47,65,20,17,5.9%,17.6%,23.5%,220,34.1%,224,34.7%,201,31.2%,49.5%,4,2.5,245,222,196,52.5%,17.33,5,0.311,5,-0.79,49.8,16.56,1.46,3.57,51.4,5.9%,.907,966,-3.4%,1.72,2.73,29.4,29.4,57.7,56.8,0.9,17,27,273,263,113,112,159,167,262,250,51.2%,-0.5,-3.4,2.45,2.08,30.34,30.29,62.85,57.37,-4.6,54,46,616,623,307,255,343,411,3,3,0,0.29,0.29,0.00,23,23,21.9,22.5,23.4,22.4,,, ,,,,,,,,,,,,,,,,
Klas,Dahlbeck,KLASDAHLBECK,ARI,D,0.173913043,AHL,0.466666667,23,1,3,4,0.69,1,2,1,20,19,15,17,5.0%,1.9%,346.4,15.1,343.4,14.9,768.5,33.4,30.9%,28,35,58,54,4,9,10.0%,30.0%,40.0%,87,27.7%,134,42.7%,93,29.6%,39.4%,1,-10.2,121,144,89,45.7%,17.17,4,0.371,3,-1.53,49.4,15.76,-2.24,-3.14,49.4,7.1%,.908,980,-2.0%,1.75,3.32,24.5,36.2,51.5,66.7,-15.2,10,19,130,188,74,76,99,81,148,194,43.3%,-3.6,-11.1,1.64,1.87,31.15,33.81,59.34,60.66,-13.9,21,24,378,409,152,173,171,209,2,1,-1,0.35,0.17,-0.17,11,16,8.7,12.5,11.8,13.7,,, ,,,,,,,,,,,,,,,,
Xavier,Ouellet,XAVIEROUELLET,DET,D,0.142857143,AHL,0.307692308,21,2,1,3,0.55,2,1,0,23,14,23,14,8.7%,3.3%,329.3,15.7,313.0,14.9,681.9,32.5,31.5%,11,12,11,40,8,1,14.3%,7.1%,21.4%,113,41.4%,71,26.0%,89,32.6%,61.4%,7,10.3,113,127,84,47.1%,16.95,7,-0.675,6,-2.80,48.8,16.15,1.35,7.42,53.7,9.5%,.944,1038,3.8%,2.68,1.34,28.4,23.8,55.4,40.5,15.0,14,7,134,117,68,30,57,73,133,106,55.6%,3.1,1.9,2.02,2.29,26.92,27.89,52.79,47.78,9.9,23,26,283,291,125,126,100,169,1,1,0,0.18,0.18,0.00,13,9,10.4,10.8,11.6,10.7,,, ,,,,,,,,,,,,,,,,
Petteri,Lindbohm,PETTERILINDBOHM,STL,D,0.130434783,SM-Liiga,0.263157895,23,2,1,3,0.52,1,1,0,30,7,12,17,6.7%,4.1%,348.8,15.2,331.6,14.4,761.8,33.1,30.3%,15,20,22,62,3,5,22.2%,11.1%,33.3%,105,34.3%,98,32.0%,103,33.7%,51.7%,5,4.5,124,123,95,50.2%,17.24,7,0.26,5,1.40,50.6,16.55,0.24,3.91,51.2,6.9%,.915,984,-1.6%,1.63,2.17,23.7,25.5,50.1,49.4,0.7,9,12,122,129,64,55,77,82,139,135,50.7%,-0.2,-2.3,3.31,2.21,31.51,26.62,57.10,53.24,-3.1,42,28,358,310,145,141,197,180,6,3,-3,1.03,0.52,-0.52,10,11,13.8,11.3,13.3,11.9,,, ,,,,,,,,,,,,,,,,
Andy,Andreoff,ANDYANDREOFF,LAK,LW/C,0.166666667,AHL,0.460526316,18,2,1,3,1.18,1,0,1,13,10,4,15,15.4%,7.4%,152.2,8.5,156.7,8.7,704.5,39.1,18.2%,0,0,33,18,4,7,100.0%,50.0%,150.0%,41,41.4%,28,28.3%,30,30.3%,59.4%,14,9.3,65,52,39,55.6%,16.62,12,-0.487,11,-2.38,49.1,17.00,-3.79,7.00,53.4,3.2%,.973,1005,0.5%,0.77,0.77,23.7,28.0,47.1,52.1,-5.0,2,2,60,71,27,34,29,34,50,71,41.3%,-9.3,-16.7,1.87,2.04,30.75,27.68,59.71,49.40,-15.3,22,24,339,301,163,127,128,177,3,0,-3,1.18,0.00,-1.18,5,6,5.2,5.0,5.4,5.7,32,29,52.5%,28,11,5,0,0.179,0,0,0,15,11,0,2,-0.133,0,0,0
