First Name,Last Name,BTN Code,End Team,Pos,NHL PPG,Last Year League,Last Year PPG,GP,ESG,ESA,ESP,ESP/60,55G,55A1,55A2,ESShot,ESMiss,ESBlked,ESChances,ESSh%,ESCoSH%,ESTOI,ESTOI/G,55TOI,55TOI/G,55TOF,55TOF/G,ES%,ESPass,ESBlk,ESHitF,ESHitA,ESGive,ESTake,ESIGP,ESIAP,ESIPP,ESOZFO,ESOZ%,ESDZFO,ESDZ%,ESNZFO,ESNZ%,OZ%,OZRk,RelOZ%,ESOZF,ESDZF,ESNZF,OZF%,T-QoC,T-QoC Rk,RCQoC,QoCRk,CQoC ,Cor%QoC,T-QoT,RCQoT,CQoT ,Cor%QoT,ESOISH%,ESOISV%,PDO,SPD,TmESGF/60,TmESGA/60,TmESSF/60,TmESSA/60,TmESCF/60,TmESCA/60,Corsi,TmESGF,TmESGA,TmESSVA,TmESSVF,TmESMF,TmESMA,TmESBF,TmESBA,TmESSCF`,TmESSCA,ESSC%,ESRelSC%,Adj Corsi,oTmESGF/60,oTmESGA/60,oTmESSF/60,oTmESSA/60,oTmESCF/60,oTmESCA/60,RelC,oTmESGF,oTmESGA,oTmESSVA,oTmESSVF,oTmESMF,oTmESMA,oTmESBF,oTmESBA,ESPenT,ESPenD,ESPPD,ESPenT/60,ESPenD/60,ESPPD/60,ExpGF,ExpGA,TmGFOff,TmGAOff,TmExpGFOff,TmExpGAOff,ESFOW,ESFOL,ESFO%,ESOffFOT,ESOffFOW,ESOffFOSF,ESOffFOSA,ESOffNSPF,ESOffFOGF,ESOffFOGA,ESOffNGPF,ESDefFOT,ESDefFOW,ESDefFOSF,ESDefFOSA,ESDefNSPF,ESDefFOGF,ESDefFOGA,ESDefNGPF
Nicolas,Deslauriers,NICOLASDESLAURIERS,BUF,LW,0.182926829,AHL,0.646153846,82,5,9,14,0.92,5,5,4,71,33,32,77,7.0%,3.7%,910.8,11.1,895.6,10.9,3099.4,37.8,22.4%,81,30,255,69,7,8,27.8%,50.0%,77.8%,183,24.1%,325,42.8%,252,33.2%,36.0%,4,-5.6,300,336,245,47.2%,17.09,10,0.067,9,1.30,50.2,16.75,-0.97,-25.64,40.7,6.2%,.922,984,-1.6%,1.21,2.75,19.4,35.2,34.6,67.2,-32.6,18,41,272,485,103,201,276,124,238,498,32.3%,-7.4,-2.4,1.86,2.88,24.86,35.25,43.27,68.96,-6.9,96,149,1188,1672,415,747,994,536,9,8,-1,0.59,0.53,-0.07,19,40,24.3,39.6,28.1,39.3,0,1,0.0%,1,0,0,0,0,0,0,0,,,,,,,,
Nikita,Zadorov,NIKITAZADOROV,BUF,D,0.25,OHL,0.833333333,60,1,9,10,0.63,0,5,4,41,16,20,21,2.4%,1.3%,954.5,15.9,917.7,15.3,2025.7,33.8,31.2%,54,68,122,60,34,9,0.0%,25.0%,25.0%,253,31.3%,289,35.7%,267,33.0%,46.7%,6,7.9,331,363,270,47.7%,17.14,7,-0.235,8,1.27,50.4,16.34,0.29,-25.46,40.2,9.2%,.931,1023,2.3%,2.35,2.48,25.6,36.0,41.8,64.0,-22.2,36,38,356,513,108,180,248,139,324,483,40.1%,2.4,5.2,1.54,2.70,24.05,34.15,41.56,69.61,5.8,52,91,760,1062,282,499,698,309,13,2,-11,0.82,0.13,-0.69,29,44,20.9,40.0,26.8,40.1,,, ,1,1,1,0,1,0,0,0,,,,,,,,
Jesper,Fast,JESPERFAST,NYR,RW,0.24137931,AHL,0.708333333,58,6,7,13,1.26,5,3,4,49,18,18,64,12.2%,7.1%,618.6,10.7,607.7,10.5,2227.5,38.4,21.4%,47,23,98,75,4,11,30.0%,35.0%,65.0%,132,25.0%,186,35.2%,210,39.8%,41.5%,4,-8.5,197,226,190,46.6%,16.88,12,-0.531,12,0.36,50.0,17.08,-1.77,-2.26,49.1,6.5%,.925,989,-1.1%,1.97,2.17,30.6,28.8,52.1,52.3,-0.2,20,22,290,270,96,106,132,122,209,214,49.4%,-0.7,4.4,2.99,1.89,30.20,30.30,54.57,59.05,4.3,111,70,1010,1055,409,496,571,496,2,6,4,0.19,0.58,0.39,24,21,25.9,20.8,25.4,24.9,2,7,22.2%,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
Barclay,Goodrow,BARCLAYGOODROW,SJS,RW/C,0.2,OHL,1.063492063,60,4,7,11,1.06,4,6,1,66,24,34,60,6.1%,3.2%,620.9,10.3,606.5,10.1,2335.9,38.9,20.6%,87,21,76,87,21,22,23.5%,41.2%,64.7%,167,30.6%,193,35.3%,186,34.1%,46.4%,3,-3.1,236,235,177,50.1%,16.85,10,-0.057,10,-0.35,49.8,17.13,-3.05,0.21,50.4,6.9%,.930,999,-0.1%,1.68,1.98,24.3,28.4,51.3,57.2,-5.8,17,20,229,267,128,127,164,145,218,247,46.9%,-5.3,-5.6,2.36,2.62,31.52,28.82,63.32,56.95,-12.2,92,102,1135,1020,524,460,635,714,9,6,-3,0.87,0.58,-0.29,19,23,21.6,23.6,23.9,23.1,12,11,52.2%,17,8,3,0,0.176,0,0,0,3,2,0,0,0,0,0,0
Ronalds,Kenins,RONALDKENINS,VAN,LW,0.4,Swiss-A,0.641025641,30,4,8,12,1.97,4,5,3,38,12,18,46,10.5%,5.9%,365.0,12.2,373.7,12.5,1074.8,35.8,25.8%,59,7,71,39,9,13,28.6%,57.1%,85.7%,97,28.0%,133,38.3%,117,33.7%,42.2%,2,-9.0,113,133,97,45.9%,17.05,11,0.345,8,-0.31,49.9,17.37,-4.03,-4.83,49.0,8.4%,.914,998,-0.2%,2.25,2.57,26.7,29.9,48.5,53.2,-4.7,14,16,152,170,58,56,89,78,154,172,47.2%,-2.5,1.6,3.13,2.96,32.83,29.98,57.84,54.60,-7.9,56,53,532,484,197,188,253,251,4,0,-4,0.66,0.00,-0.66,15,16,13.7,14.8,13.0,15.4,0,0, ,,,,,,,,,,,,,,,,
Dennis,Everberg,DENNISEVERBERG,COL,RW,0.218181818,SweHL,0.723404255,55,3,9,12,1.19,2,4,5,57,24,20,69,5.3%,3.0%,604.8,11.0,591.7,10.8,2049.7,37.3,22.4%,58,35,69,75,9,20,20.0%,60.0%,80.0%,179,29.6%,226,37.4%,199,32.9%,44.2%,5,-0.4,204,225,181,47.6%,16.93,9,-0.032,8,1.84,50.4,17.37,-1.74,-16.16,43.4,6.9%,.916,986,-1.4%,1.52,2.54,21.9,30.3,42.2,63.5,-21.3,15,25,201,274,78,127,200,122,200,296,40.3%,-5.9,-2.0,2.63,2.58,27.66,32.81,49.62,63.46,-7.5,90,88,855,1033,328,447,600,422,4,7,3,0.40,0.69,0.30,18,23,23.0,23.2,18.3,24.8,0,3,0.0%,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Seth,Griffith,SETHGRIFFITH,BOS,C,0.333333333,AHL,0.724637681,30,5,2,7,1.20,5,1,1,28,16,14,33,17.9%,8.6%,350.0,11.7,341.4,11.4,1158.3,38.6,22.8%,14,13,14,39,6,11,50.0%,20.0%,70.0%,105,37.0%,98,34.5%,81,28.5%,51.7%,8,0.7,118,138,99,46.1%,17.45,5,-0.284,13,-1.25,49.4,18.32,-0.55,3.58,52.9,6.9%,.933,1002,0.2%,1.76,2.11,25.3,31.5,54.1,55.5,-1.4,10,12,134,167,78,65,72,86,131,155,45.8%,-8.8,-6.7,2.43,2.07,29.84,28.59,56.77,50.66,-7.5,47,40,529,512,219,199,227,301,3,1,-2,0.51,0.17,-0.34,10,12,13.2,10.7,12.3,12.3,3,5,37.5%,6,3,2,0,0.333,0,0,0,1,0,0,0,0,0,0,0
Christian,Folin,CHRISTIANFOLIN,MIN,D,0.25,NCAA,0.487804878,40,2,7,9,0.93,2,5,2,36,17,26,22,5.6%,2.5%,580.2,14.5,573.0,14.3,1338.8,33.5,30.0%,51,34,46,70,14,9,7.7%,26.9%,34.6%,154,28.4%,161,29.7%,228,42.0%,48.9%,4,-3.0,218,198,195,52.4%,17.11,5,-0.271,6,-0.74,49.6,16.61,-1.28,0.74,50.8,9.8%,.913,1012,1.2%,2.72,2.30,27.6,26.6,51.3,50.1,1.3,26,22,238,232,105,86,138,121,234,240,49.4%,-4.2,-0.1,2.42,2.73,31.86,26.93,58.75,53.51,-4.0,54,61,657,540,255,246,347,345,3,1,-2,0.31,0.10,-0.21,19,20,23.3,20.8,21.6,18.4,,, ,,,,,,,,,,,,,,,,
Jyrki,Jokipakka,JYRKIJOKIPAKKA,DAL,D,0.196078431,AHL,0.308823529,51,0,10,10,0.76,0,3,5,37,21,36,33,0.0%,0.0%,789.3,15.5,763.8,15.0,1672.9,32.8,31.3%,33,54,38,89,35,15,0.0%,24.2%,24.2%,278,35.1%,209,26.4%,305,38.5%,57.1%,7,8.2,294,287,276,50.6%,17.31,5,0.51,4,-0.79,49.7,16.26,-1.51,3.92,50.9,9.0%,.910,1000,0.0%,2.59,2.67,28.9,29.7,58.0,58.6,-0.6,33,34,335,344,177,174,194,193,371,355,51.1%,-5.1,-7.1,2.83,3.16,31.60,29.37,66.14,55.70,-11.1,79,88,802,731,443,317,417,520,4,0,-4,0.30,0.00,-0.30,30,29,34.2,33.7,32.3,29.2,,, ,,,,,,,,,,,,,,,,
Brett,Ritchie,BRETTRITCHIE,DAL,RW,0.290322581,AHL,0.705882353,31,6,2,8,1.32,6,1,1,60,26,27,64,10.0%,5.3%,362.3,11.7,351.3,11.3,1121.9,36.2,23.8%,14,5,88,36,10,7,46.2%,15.4%,61.5%,113,32.8%,92,26.7%,139,40.4%,55.1%,11,5.1,140,141,109,49.8%,17.22,10,0.41,8,-0.69,49.7,17.28,-0.24,4.78,51.7,7.2%,.934,1006,0.6%,2.22,1.88,30.9,28.3,62.3,49.5,12.8,13,11,168,155,79,61,63,105,193,143,57.4%,1.5,6.0,3.16,3.21,31.98,29.20,66.64,56.64,2.8,59,60,539,486,289,224,289,359,3,6,3,0.50,0.99,0.50,16,11,14.9,16.1,14.5,14.0,1,3,25.0%,2,0,0,0,0,0,0,0,,,,,,,,
